x	y	z
685.4457228	1144.596698	210.0283822
1612.445448	2405.926695	553.4531693
1053.65154	1451.460311	252.5711844
2429.044465	1400.875881	204.4740135
1492.660298	689.947203	674.5200964
1642.582476	558.7939085	336.8938261
2483.443709	572.2220527	823.0536821
2229.758599	927.7626881	656.8498795
1968.138676	1150.09003	669.0572832
1504.028443	2250.587481	890.8352916
584.4294565	2095.629749	891.8118839
822.6264229	318.3843501	190.9848323
1896.572771	2193.060091	265.4499954
1858.119449	646.9161046	736.1674856
300.6836146	885.8760338	486.6176336
264.0614032	359.889523	14.09955138
2335.123753	1564.302499	568.9260537
166.7836543	2360.225227	640.766625
1854.075747	2086.779382	963.6524552
166.4784692	1613.666189	674.8863186
1252.25074	356.6087832	769.7073275
2492.370373	486.3124485	850.0015259
2450.407422	690.6338694	900.0824
692.0072024	1370.052187	592.1506394
500.8850368	1780.220954	993.469039
1806.772057	615.0242622	749.4430372
2248.680074	818.8116092	332.1939756
453.9628285	882.6715903	249.549852
294.8850978	2418.820765	169.4692831
1168.70632	2236.014893	52.55287332
1389.584033	1823.786126	808.0690939
809.9612415	926.4656514	400.1586962
1113.315226	1204.718162	634.8765526
1378.444777	1712.012085	107.9134495
1130.100406	2071.749016	223.1208228
1780.220954	2479.094821	124.2408521
1703.161718	99.10885952	694.2045351
1469.313639	1741.61504	418.8665426
882.0612201	15.48814356	908.352916
1077.455977	570.3909421	84.71938231
602.2827845	1709.646901	852.5650807
1645.634327	982.8485977	970.2444533
1700.643941	916.318247	938.3526109
1480.452895	598.0864895	823.2978301
2355.342265	331.2784204	941.5875729
2026.505325	1260.185553	455.1835688
519.5013276	1324.961089	129.4289987
537.1257668	156.3310648	441.4502396
842.6923429	1645.17655	856.5630055
1804.101688	1025.650807	996.3072604
680.9442427	2180.623798	695.8525346
331.3547166	673.1620228	510.2084414
897.4730674	57.60368664	123.7220374
2177.266762	2497.558519	454.4816431
555.589465	137.6384777	32.62428663
1297.112949	1905.117954	551.7136143
628.5287027	1416.516617	16.29688406
167.546617	1147.41966	919.7973571
800.5767998	479.216895	594.6836756
315.0273141	1084.627827	937.162389
624.713889	86.74886319	438.1847591
1680.043947	2457.579272	477.0348216
2052.21717	1226.767785	339.640492
2075.869015	2268.364513	544.328135
2460.249641	621.9672231	294.0153203
915.3263955	2120.654927	841.3342692
1099.963378	1805.627613	704.7029023
1444.593646	181.4325388	18.82992035
173.8029115	513.6265145	564.1346477
1994.232002	2104.251228	955.7481613
2338.785974	875.4997406	584.7041231
809.7323527	1607.028413	982.4213385
2143.925291	1754.890591	803.521836
2403.332621	1250.953703	146.2446974
46.46443068	1685.537278	281.4111759
153.2029176	1115.222633	32.10547197
2029.938658	201.6510514	283.333842
1621.448408	336.5428632	926.6335032
783.5627308	2062.974944	892.056032
1322.977386	1681.188391	874.9046297
1204.184088	466.3991211	493.6368908
2036.423841	258.5680715	47.6699118
1461.684011	2394.787439	105.8687094
1745.353557	1986.526078	439.8327586
1344.18775	327.9213843	226.3252663
510.3457747	775.7042146	884.3653676
2377.77337	1212.271493	878.2311472
1559.724723	952.8641621	313.4250923
2108.142338	2392.49855	956.8773461
204.8554949	971.5567492	754.4785913
761.5131077	1737.571337	949.4918668
1910.153508	1303.827021	340.2813807
65.15701773	1990.340892	743.5529649
1023.285623	1364.024781	262.7338481
1631.824702	1500.976592	679.403058
879.3908506	201.4221625	734.0006714
1302.606281	1541.795099	363.0481887
781.5790277	1331.29368	264.1376995
1509.598071	889.1567736	163.7928404
2297.891171	1255.455184	541.3373211
1381.801813	377.6665548	901.3031404
465.254677	1777.932066	540.0250252
1784.569842	234.0006714	103.7934507
1413.922544	951.0330515	803.6744285
63.93627735	247.6577044	517.8380688
683.0805383	1711.325419	780.9076205
2281.640065	1299.630726	395.4588458
158.2384716	1292.840358	259.6514786
1979.506821	502.2583697	602.9847102
176.168096	1151.92114	969.6035646
1824.625385	279.4732505	908.9632862
987.6552629	1711.020234	932.3404645
660.0390637	681.2494278	46.29657888
992.5382244	1547.822504	758.59859
1343.806269	660.7257302	425.9773553
2042.069765	2027.573473	444.9903867
2108.447523	1994.460891	835.1084933
1185.186316	1116.061892	935.2702414
1324.503311	566.5761284	204.0772729
99.79552599	2028.641621	409.2837306
324.7932371	427.7169103	701.6815699
2145.146031	1283.150731	568.6819056
1642.811365	435.4228339	136.6313669
1564.531388	1940.21424	729.3008209
964.3086032	460.1428266	38.36176641
1426.740318	1645.405438	931.8521683
586.7946409	646.1531419	977.4468215
469.3746757	1854.228339	165.2272103
545.2894681	2125.156407	798.73043
676.1375774	2121.875668	793.1150243
1108.355968	2449.415571	598.2543413
1231.57445	1901.608325	0.976592303
2381.969665	401.0895108	603.869747
2020.935698	2222.052675	170.5069124
1103.625599	1813.638722	748.6190374
142.5977355	1219.138157	158.6962493
1661.809137	2165.517136	772.5455489
31.73924986	1098.742637	142.4909207
768.7612537	2045.579394	286.0194708
828.3486435	7.248146001	604.2664876
840.9375286	2196.874905	494.0336314
114.4444105	809.9612415	809.4424268
1327.631458	2294.763024	345.9273049
162.8162481	225.7606738	387.9207739
279.0154729	958.5100864	862.0258187
441.7554247	1459.929197	998.9013337
678.5027619	300.7599109	419.5379498
2370.830409	1723.532823	163.0909146
284.1273232	649.815363	988.8302255
785.3175451	642.0331431	809.1067232
256.3554796	1493.499557	808.8625752
302.9725028	1850.33723	527.5429548
1991.790521	2257.606738	918.4240242
355.3117466	855.9678945	583.8190863
1158.48262	305.0325022	427.3812067
1618.854335	346.4613788	30.64058351
748.2375561	92.92886135	556.8102054
509.5065157	2319.483016	412.7933592
1328.62331	802.865688	415.1432844
1360.438856	57.985168	190.3134251
1921.063875	1548.661763	339.0911588
1938.917203	2348.094119	751.2741478
1848.735008	3.585924863	537.0952483
1152.836695	273.6747337	363.4449293
307.5502792	1059.297464	851.2833033
2190.466018	1224.097415	252.2049623
1633.198035	977.4315622	833.3079012
1514.404736	730.9945982	813.8065737
564.516129	1001.312296	126.0414441
636.7687002	726.187933	405.6215094
1073.564867	1600.924711	490.0357067
12.13110752	588.0916776	820.5816828
